feature,missing_rate,selected
phenylephrine_rate_mcgkgmin_roll_std_12,0.0,True
sofa_diff,0.0,True
sofa_n_meas,0.0,True
nee_mcgkgmin_ema_12,0.0,True
nee_mcgkgmin_roll_std_12,0.0,True
nee_mcgkgmin_roll_mean_12,0.0,True
nee_mcgkgmin_cumean,0.0,True
nee_mcgkgmin_cummax,0.0,True
nee_mcgkgmin_cummin,0.0,True
nee_mcgkgmin_diff,0.0,True
nee_mcgkgmin_n_meas,0.0,True
phenylephrine_rate_mcgkgmin_ema_12,0.0,True
sofa_roll_std_12,0.0,True
phenylephrine_rate_mcgkgmin_roll_mean_12,0.0,True
phenylephrine_rate_mcgkgmin_cumean,0.0,True
phenylephrine_rate_mcgkgmin_cummax,0.0,True
phenylephrine_rate_mcgkgmin_cummin,0.0,True
phenylephrine_rate_mcgkgmin_diff,0.0,True
phenylephrine_rate_mcgkgmin_n_meas,0.0,True
vasopressin_rate_unitsmin_or_equiv_ema_12,0.0,True
vasopressin_rate_unitsmin_or_equiv_roll_std_12,0.0,True
vasopressin_rate_unitsmin_or_equiv_roll_mean_12,0.0,True
vasopressin_rate_unitsmin_or_equiv_cumean,0.0,True
vasopressin_rate_unitsmin_or_equiv_cummax,0.0,True
fluid_balance_total_ml_diff,0.0,True
phosphorus,0.0,True
age,0.0,True
any_vasopressor_diff,0.0,True
ldh,0.0,True
alkaline_phosphatase,0.0,True
bilirubin_total,0.0,True
ast,0.0,True
alt,0.0,True
sodium,0.0,True
potassium,0.0,True
fluid_balance_total_ml_roll_std_12,0.0,True
vasopressin_rate_unitsmin_or_equiv_cummin,0.0,True
fluid_balance_total_ml_n_meas,0.0,True
fluid_balance_daily_ml_roll_std_12,0.0,True
fluid_balance_daily_ml_diff,0.0,True
fluid_balance_daily_ml_n_meas,0.0,True
uo_mlkghr_24hr_roll_std_12,0.0,True
uo_mlkghr_24hr_diff,0.0,True
uo_mlkghr_24hr_n_meas,0.0,True
sofa_delta_roll_std_12,0.0,True
sofa_delta_diff,0.0,True
sofa_delta_n_meas,0.0,True
spo2_ema_12,0.0,True
norepinephrine_rate_mcgkgmin_cummin,0.0,True
norepinephrine_rate_mcgkgmin_diff,0.0,True
norepinephrine_rate_mcgkgmin_n_meas,0.0,True
glucose_vital_ema_12,0.0,True
glucose_vital_roll_std_12,0.0,True
glucose_vital_roll_mean_12,0.0,True
glucose_vital_cumean,0.0,True
glucose_vital_cummax,0.0,True
glucose_vital_cummin,0.0,True
glucose_vital_diff,0.0,True
glucose_vital_n_meas,0.0,True
norepinephrine_rate_mcgkgmin_cummax,0.0,True
spo2_roll_std_12,0.0,True
spo2_roll_mean_12,0.0,True
spo2_cumean,0.0,True
spo2_cummax,0.0,True
spo2_cummin,0.0,True
spo2_diff,0.0,True
spo2_n_meas,0.0,True
temperature_ema_12,0.0,True
temperature_roll_std_12,0.0,True
temperature_roll_mean_12,0.0,True
temperature_cumean,0.0,True
epinephrine_rate_mcgkgmin_roll_std_12,0.0,True
vasopressin_rate_unitsmin_or_equiv_diff,0.0,True
vasopressin_rate_unitsmin_or_equiv_n_meas,0.0,True
dobutamine_rate_mcgkgmin_ema_12,0.0,True
dobutamine_rate_mcgkgmin_roll_std_12,0.0,True
dobutamine_rate_mcgkgmin_roll_mean_12,0.0,True
dobutamine_rate_mcgkgmin_cumean,0.0,True
dobutamine_rate_mcgkgmin_cummax,0.0,True
dobutamine_rate_mcgkgmin_cummin,0.0,True
dobutamine_rate_mcgkgmin_diff,0.0,True
dobutamine_rate_mcgkgmin_n_meas,0.0,True
epinephrine_rate_mcgkgmin_ema_12,0.0,True
ldh_cummax,0.0,True
epinephrine_rate_mcgkgmin_roll_mean_12,0.0,True
epinephrine_rate_mcgkgmin_cumean,0.0,True
epinephrine_rate_mcgkgmin_cummax,0.0,True
epinephrine_rate_mcgkgmin_cummin,0.0,True
epinephrine_rate_mcgkgmin_diff,0.0,True
epinephrine_rate_mcgkgmin_n_meas,0.0,True
norepinephrine_rate_mcgkgmin_ema_12,0.0,True
norepinephrine_rate_mcgkgmin_roll_std_12,0.0,True
norepinephrine_rate_mcgkgmin_roll_mean_12,0.0,True
norepinephrine_rate_mcgkgmin_cumean,0.0,True
diabetes_without_cc,0.0,True
hemoglobin_cumean,0.0,True
hemoglobin_cummax,0.0,True
hemoglobin_cummin,0.0,True
hemoglobin_diff,0.0,True
hemoglobin_n_meas,0.0,True
alt_cumean,0.0,True
metastatic_solid_tumor,0.0,True
severe_liver_disease,0.0,True
malignant_cancer,0.0,True
renal_disease,0.0,True
diabetes_with_cc,0.0,True
hemoglobin_roll_mean_12,0.0,True
mild_liver_disease,0.0,True
peptic_ulcer_disease,0.0,True
rheumatic_disease,0.0,True
chronic_pulmonary_disease,0.0,True
dementia,0.0,True
cerebrovascular_disease,0.0,True
peripheral_vascular_disease,0.0,True
congestive_heart_failure,0.0,True
myocardial_infarct,0.0,True
apsiii,0.0,True
sapsii,0.0,True
pt_diff,0.0,True
ptt_cumean,0.0,True
ptt_cummax,0.0,True
ptt_cummin,0.0,True
ptt_diff,0.0,True
ptt_n_meas,0.0,True
pt_ema_12,0.0,True
pt_roll_std_12,0.0,True
pt_roll_mean_12,0.0,True
pt_cumean,0.0,True
pt_cummax,0.0,True
pt_cummin,0.0,True
milrinone_rate_mcgkgmin,0.0,True
pt_n_meas,0.0,True
platelets_ema_12,0.0,True
platelets_roll_std_12,0.0,True
platelets_roll_mean_12,0.0,True
platelets_cumean,0.0,True
platelets_cummax,0.0,True
platelets_cummin,0.0,True
platelets_diff,0.0,True
platelets_n_meas,0.0,True
hemoglobin_ema_12,0.0,True
hemoglobin_roll_std_12,0.0,True
rrt_on_diff,0.0,True
lymphocytes_abs,0.0,True
urea,0.0,True
creatinine,0.0,True
glucose_lab,0.0,True
lactate,0.0,True
ptt,0.0,True
pt,0.0,True
platelets,0.0,True
hemoglobin,0.0,True
rrt_on_roll_mean_12,0.0,True
rrt_on_cumsum,0.0,True
ck_total,0.0,True
tracheostomy_flag_roll_mean_12,0.0,True
tracheostomy_flag_cumsum,0.0,True
tracheostomy_flag_diff,0.0,True
imv_on_roll_mean_12,0.0,True
imv_on_cumsum,0.0,True
imv_on_diff,0.0,True
ventilation_on_roll_mean_12,0.0,True
ventilation_on_cumsum,0.0,True
ventilation_on_diff,0.0,True
any_vasopressor_roll_mean_12,0.0,True
any_vasopressor_cumsum,0.0,True
dobutamine_rate_mcgkgmin,0.0,True
vasopressin_rate_norm,0.0,True
vasopressin_rate_raw,0.0,True
dopamine_rate_mcgkgmin,0.0,True
rrt_on,0.0,True
tracheostomy_flag,0.0,True
imv_on,0.0,True
ventilation_on,0.0,True
nee_mcgkgmin,0.0,True
any_vasopressor,0.0,True
phenylephrine_rate_mcgkgmin,0.0,True
vasopressin_rate_unitsmin_or_equiv,0.0,True
aids,0.0,True
epinephrine_rate_mcgkgmin,0.0,True
norepinephrine_rate_mcgkgmin,0.0,True
glucose_vital,0.0,True
spo2,0.0,True
temperature,0.0,True
resp_rate,0.0,True
mbp,0.0,True
dbp,0.0,True
sbp,0.0,True
heart_rate,0.0,True
magnesium_cumean,0.0,True
phosphorus_roll_std_12,0.0,True
phosphorus_roll_mean_12,0.0,True
ptt_roll_mean_12,0.0,True
phosphorus_cummax,0.0,True
phosphorus_cummin,0.0,True
phosphorus_diff,0.0,True
phosphorus_n_meas,0.0,True
magnesium_ema_12,0.0,True
magnesium_roll_std_12,0.0,True
magnesium_roll_mean_12,0.0,True
phosphorus_ema_12,0.0,True
magnesium_cummax,0.0,True
magnesium_cummin,0.0,True
magnesium_diff,0.0,True
magnesium_n_meas,0.0,True
urea_ema_12,0.0,True
urea_roll_std_12,0.0,True
urea_roll_mean_12,0.0,True
urea_cumean,0.0,True
urea_cummax,0.0,True
urea_cummin,0.0,True
sodium_diff,0.0,True
alt_cummax,0.0,True
alt_cummin,0.0,True
alt_diff,0.0,True
alt_n_meas,0.0,True
sodium_ema_12,0.0,True
sodium_roll_std_12,0.0,True
sodium_roll_mean_12,0.0,True
sodium_cumean,0.0,True
sodium_cummax,0.0,True
sodium_cummin,0.0,True
phosphorus_cumean,0.0,True
sodium_n_meas,0.0,True
potassium_ema_12,0.0,True
potassium_roll_std_12,0.0,True
potassium_roll_mean_12,0.0,True
potassium_cumean,0.0,True
potassium_cummax,0.0,True
potassium_cummin,0.0,True
potassium_diff,0.0,True
potassium_n_meas,0.0,True
glucose_lab_cumean,0.0,True
glucose_lab_cummin,0.0,True
glucose_lab_cummax,0.0,True
urea_diff,0.0,True
urea_n_meas,0.0,True
creatinine_ema_12,0.0,True
creatinine_roll_std_12,0.0,True
creatinine_roll_mean_12,0.0,True
creatinine_cumean,0.0,True
glucose_lab_diff,0.0,True
glucose_lab_roll_mean_12,0.0,True
glucose_lab_roll_std_12,0.0,True
glucose_lab_ema_12,0.0,True
creatinine_cummax,0.0,True
creatinine_cummin,0.0,True
creatinine_diff,0.0,True
creatinine_n_meas,0.0,True
lactate_roll_std_12,0.0,True
ptt_roll_std_12,0.0,True
ptt_ema_12,0.0,True
lactate_n_meas,0.0,True
lactate_diff,0.0,True
lactate_cummin,0.0,True
lactate_cummax,0.0,True
lactate_cumean,0.0,True
lactate_roll_mean_12,0.0,True
glucose_lab_n_meas,0.0,True
lactate_ema_12,0.0,True
weight_kg,0.0036409425589076154,True
fluid_balance_daily_ml_roll_mean_12,0.004273324107820823,True
fluid_balance_total_ml_roll_mean_12,0.004273324107820823,True
fluid_balance_total_ml_cumean,0.004273324107820823,True
fluid_balance_total_ml_cummax,0.004273324107820823,True
fluid_balance_total_ml,0.004273324107820823,True
fluid_balance_daily_ml,0.004273324107820823,True
fluid_balance_total_ml_cummin,0.004273324107820823,True
fluid_balance_daily_ml_cummin,0.004273324107820823,True
fluid_balance_daily_ml_cummax,0.004273324107820823,True
fluid_balance_daily_ml_cumean,0.004273324107820823,True
fluid_balance_total_ml_ema_12,0.004273324107820823,True
fluid_balance_daily_ml_ema_12,0.004273324107820823,True
ntprobnp_diff,0.02036731870686544,True
ntprobnp_n_meas,0.02036731870686544,True
ntprobnp_roll_std_12,0.02036731870686544,True
crp_roll_std_12,0.0207504539017015,True
crp_n_meas,0.0207504539017015,True
crp_diff,0.0207504539017015,True
ferritin_n_meas,0.023759478194881924,True
ferritin_diff,0.023759478194881924,True
ferritin_roll_std_12,0.023759478194881924,True
sofa_cummin,0.07121589135453348,True
sofa_cummax,0.07121589135453348,True
sofa_cumean,0.07121589135453348,True
sofa_roll_mean_12,0.07121589135453348,True
sofa_ema_12,0.07121589135453348,True
sofa,0.07121589135453348,True
sofa_delta_ema_12,0.07322515053228922,True
sofa_delta,0.07322515053228922,True
sofa_delta_cummin,0.07322515053228922,True
sofa_delta_cummax,0.07322515053228922,True
sofa_delta_cumean,0.07322515053228922,True
sofa_delta_roll_mean_12,0.07322515053228922,True
height_cm,0.24529269536767775,True
bmi,0.24598762014670325,True
uo_mlkghr_24hr_ema_12,0.3711264313713136,True
uo_mlkghr_24hr_cumean,0.3711264313713136,True
uo_mlkghr_24hr_roll_mean_12,0.3816174791186686,True
uo_mlkghr_24hr,0.3818111314904237,True
uo_mlkghr_24hr_cummax,0.3818111314904237,True
uo_mlkghr_24hr_cummin,0.3818111314904237,True
ggt_roll_std_12,0.6019985110078402,True
ggt_diff,0.6019985110078402,True
ggt_n_meas,0.6019985110078402,True
ferritin,0.9149481562950688,False
ferritin_cummin,0.9177352679421471,False
ferritin_cummax,0.9177352679421471,False
ferritin_cumean,0.9177352679421471,False
ferritin_roll_mean_12,0.9177352679421471,False
ferritin_ema_12,0.9177352679421471,False
ntprobnp,0.9541294051860847,False
ntprobnp_cummin,0.954874827832386,False
ntprobnp_cumean,0.954874827832386,False
ntprobnp_roll_mean_12,0.954874827832386,False
ntprobnp_ema_12,0.954874827832386,False
ntprobnp_cummax,0.954874827832386,False
crp,0.9673681855097065,False
crp_ema_12,0.9683067972445769,False
crp_cummin,0.9683067972445769,False
crp_cummax,0.9683067972445769,False
crp_roll_mean_12,0.9683067972445769,False
crp_cumean,0.9683067972445769,False
ggt,0.987029923924268,False
ggt_ema_12,0.9952518106265118,False
ggt_cumean,0.9952518106265118,False
ggt_roll_mean_12,0.9952518106265118,False
ggt_cummin,0.9952518106265118,False
ggt_cummax,0.9952518106265118,False
methemoglobin,1.0,False
bilirubin_direct,1.0,False
urineoutput_24h_ml,1.0,False
troponin_i,1.0,False
fibrinogen,1.0,False
mpv,1.0,False
hematocrit,1.0,False
bilirubin_neonatal,1.0,False
bilirubin_indirect,1.0,False
hba2,1.0,False
hba1c,1.0,False
albumin,1.0,False
hbs,1.0,False
ckmb,1.0,False
d_dimer,1.0,False
